VALOR,UNIDAD,VIGENCIADESDE,VIGENCIAHASTA
2850.98,COP,09/10/2002,09/10/2002
2854.04,COP,10/10/2002,10/10/2002
2870.63,COP,11/10/2002,11/10/2002
2861.16,COP,12/10/2002,15/10/2002
2852.99,COP,16/10/2002,16/10/2002
2857.13,COP,17/10/2002,17/10/2002
2853.90,COP,18/10/2002,18/10/2002
2836.34,COP,19/10/2002,21/10/2002
2791.46,COP,22/10/2002,22/10/2002
2758.76,COP,23/10/2002,23/10/2002
2744.32,COP,24/10/2002,24/10/2002
2747.07,COP,25/10/2002,25/10/2002
2755.69,COP,26/10/2002,28/10/2002
2770.73,COP,29/10/2002,29/10/2002
2781.72,COP,30/10/2002,30/10/2002
2773.73,COP,31/10/2002,31/10/2002
2778.60,COP,01/11/2002,01/11/2002
2778.47,COP,02/11/2002,05/11/2002
2774.58,COP,06/11/2002,06/11/2002
2761.99,COP,07/11/2002,07/11/2002
2743.00,COP,08/11/2002,08/11/2002
2743.92,COP,09/11/2002,12/11/2002
2727.05,COP,13/11/2002,13/11/2002
2717.89,COP,14/11/2002,14/11/2002
2724.04,COP,15/11/2002,15/11/2002
2703.75,COP,16/11/2002,18/11/2002
2679.96,COP,19/11/2002,19/11/2002
2683.04,COP,20/11/2002,20/11/2002
2671.70,COP,21/11/2002,21/11/2002
2666.41,COP,22/11/2002,22/11/2002
2687.25,COP,23/11/2002,25/11/2002
2716.95,COP,26/11/2002,26/11/2002
2735.04,COP,27/11/2002,27/11/2002
2754.67,COP,28/11/2002,28/11/2002
2758.28,COP,29/11/2002,29/11/2002
2784.21,COP,30/11/2002,02/12/2002
2812.94,COP,03/12/2002,03/12/2002
2826.10,COP,04/12/2002,04/12/2002
2806.63,COP,05/12/2002,05/12/2002
2788.72,COP,06/12/2002,06/12/2002
2782.40,COP,07/12/2002,09/12/2002
2815.00,COP,10/12/2002,10/12/2002
2816.42,COP,11/12/2002,11/12/2002
2801.01,COP,12/12/2002,12/12/2002
2793.16,COP,13/12/2002,13/12/2002
2808.16,COP,14/12/2002,16/12/2002
2807.61,COP,17/12/2002,17/12/2002
2805.55,COP,18/12/2002,18/12/2002
2818.81,COP,19/12/2002,19/12/2002
2818.54,COP,20/12/2002,20/12/2002
2814.71,COP,21/12/2002,23/12/2002
2826.04,COP,24/12/2002,24/12/2002
2823.95,COP,25/12/2002,26/12/2002
2843.57,COP,27/12/2002,27/12/2002
2854.29,COP,28/12/2002,30/12/2002
2864.79,COP,31/12/2002,02/01/2003
2844.82,COP,03/01/2003,03/01/2003
2841.56,COP,04/01/2003,07/01/2003
2881.83,COP,08/01/2003,08/01/2003
2902.92,COP,09/01/2003,09/01/2003
2915.01,COP,10/01/2003,10/01/2003
2905.77,COP,11/01/2003,13/01/2003
2906.49,COP,14/01/2003,14/01/2003
2903.05,COP,15/01/2003,15/01/2003
2905.41,COP,16/01/2003,16/01/2003
2928.19,COP,17/01/2003,17/01/2003
2923.58,COP,18/01/2003,20/01/2003
2926.06,COP,21/01/2003,21/01/2003
2933.81,COP,22/01/2003,22/01/2003
2947.05,COP,23/01/2003,23/01/2003
2926.88,COP,24/01/2003,24/01/2003
2924.73,COP,25/01/2003,27/01/2003
2948.30,COP,28/01/2003,28/01/2003
2965.60,COP,29/01/2003,29/01/2003
2950.71,COP,30/01/2003,30/01/2003
2926.46,COP,31/01/2003,31/01/2003
2940.26,COP,01/02/2003,03/02/2003
2957.40,COP,04/02/2003,04/02/2003
2966.78,COP,05/02/2003,05/02/2003
2961.29,COP,06/02/2003,06/02/2003
2963.28,COP,07/02/2003,07/02/2003
2954.03,COP,08/02/2003,10/02/2003
2968.88,COP,11/02/2003,11/02/2003
2963.21,COP,12/02/2003,12/02/2003
2960.77,COP,13/02/2003,13/02/2003
2959.75,COP,14/02/2003,14/02/2003
2954.76,COP,15/02/2003,17/02/2003
2934.58,COP,18/02/2003,18/02/2003
2929.64,COP,19/02/2003,19/02/2003
2937.44,COP,20/02/2003,20/02/2003
2938.23,COP,21/02/2003,21/02/2003
2939.92,COP,22/02/2003,24/02/2003
2949.05,COP,25/02/2003,25/02/2003
2951.81,COP,26/02/2003,26/02/2003
2949.85,COP,27/02/2003,27/02/2003
2956.31,COP,28/02/2003,28/02/2003
2957.87,COP,01/03/2003,03/03/2003
2959.97,COP,04/03/2003,04/03/2003
2962.06,COP,05/03/2003,05/03/2003
2960.77,COP,06/03/2003,06/03/2003
2960.11,COP,07/03/2003,07/03/2003
2959.75,COP,08/03/2003,10/03/2003
2961.93,COP,11/03/2003,11/03/2003
2962.76,COP,12/03/2003,12/03/2003
2961.99,COP,13/03/2003,13/03/2003
2959.39,COP,14/03/2003,14/03/2003
2958.86,COP,15/03/2003,17/03/2003
2956.47,COP,18/03/2003,18/03/2003
2955.84,COP,19/03/2003,19/03/2003
2955.64,COP,20/03/2003,20/03/2003
2954.62,COP,21/03/2003,21/03/2003
2956.06,COP,22/03/2003,25/03/2003
2959.26,COP,26/03/2003,26/03/2003
2959.84,COP,27/03/2003,27/03/2003
2958.73,COP,28/03/2003,28/03/2003
2958.25,COP,29/03/2003,31/03/2003
2956.50,COP,03/04/2003,03/04/2003
922.21,COP,15/08/1995,15/08/1995
3099.12,COP,06/03/2019,06/03/2019
3119.42,COP,22/02/2019,22/02/2019
3110.29,COP,23/02/2019,25/02/2019
3101.41,COP,26/02/2019,26/02/2019
3095.29,COP,27/02/2019,27/02/2019
3072.01,COP,28/02/2019,28/02/2019
3077.35,COP,01/03/2019,01/03/2019
3091.49,COP,02/03/2019,04/03/2019
820.12,COP,01/03/1994,01/03/1994
3093.79,COP,05/03/2019,05/03/2019
2549.10,COP,15/10/2004,15/10/2004
2562.56,COP,16/10/2004,19/10/2004
2556.18,COP,20/10/2004,20/10/2004
2561.33,COP,21/10/2004,21/10/2004
2555.26,COP,22/10/2004,22/10/2004
2582.39,COP,27/10/2004,27/10/2004
1852.67,COP,03/02/2011,03/02/2011
1846.23,COP,29/07/2010,29/07/2010
1841.35,COP,30/07/2010,30/07/2010
1842.79,COP,31/07/2010,02/08/2010
1832.45,COP,03/08/2010,03/08/2010
1834.58,COP,04/08/2010,04/08/2010
1824.52,COP,05/08/2010,05/08/2010
1818.50,COP,06/08/2010,06/08/2010
1815.46,COP,07/08/2010,09/08/2010
1808.93,COP,10/08/2010,10/08/2010
1810.12,COP,11/08/2010,11/08/2010
1807.55,COP,12/08/2010,12/08/2010
1812.20,COP,13/08/2010,13/08/2010
1835.32,COP,14/08/2010,17/08/2010
1810.75,COP,18/08/2010,18/08/2010
1808.14,COP,19/08/2010,19/08/2010
1819.13,COP,20/08/2010,20/08/2010
1820.93,COP,21/08/2010,23/08/2010
1806.93,COP,24/08/2010,24/08/2010
1818.86,COP,25/08/2010,25/08/2010
1820.29,COP,26/08/2010,26/08/2010
1811.46,COP,27/08/2010,27/08/2010
1817.68,COP,28/08/2010,30/08/2010
1823.74,COP,31/08/2010,31/08/2010
1826.31,COP,01/09/2010,01/09/2010
1815.09,COP,02/09/2010,02/09/2010
1810.65,COP,03/09/2010,03/09/2010
1807.73,COP,04/09/2010,07/09/2010
1808.65,COP,08/09/2010,08/09/2010
1803.00,COP,09/09/2010,09/09/2010
1802.54,COP,10/09/2010,10/09/2010
1801.04,COP,11/09/2010,13/09/2010
1793.28,COP,14/09/2010,14/09/2010
1788.05,COP,15/09/2010,15/09/2010
1806.78,COP,16/09/2010,16/09/2010
1811.55,COP,17/09/2010,17/09/2010
1806.76,COP,18/09/2010,20/09/2010
1798.73,COP,21/09/2010,21/09/2010
1805.31,COP,22/09/2010,22/09/2010
1803.71,COP,23/09/2010,23/09/2010
1810.72,COP,24/09/2010,24/09/2010
1809.46,COP,25/09/2010,27/09/2010
1802.15,COP,28/09/2010,28/09/2010
1804.06,COP,29/09/2010,29/09/2010
1799.89,COP,30/09/2010,30/09/2010
1801.01,COP,01/10/2010,01/10/2010
1795.93,COP,02/10/2010,04/10/2010
1802.09,COP,05/10/2010,05/10/2010
1802.43,COP,06/10/2010,06/10/2010
1796.29,COP,07/10/2010,07/10/2010
1786.20,COP,08/10/2010,08/10/2010
1786.37,COP,09/10/2010,12/10/2010
3190.94,COP,29/03/2019,29/03/2019
3285.14,COP,15/05/2019,15/05/2019
3378.29,COP,15/02/2020,18/02/2020
3588.89,COP,04/06/2020,04/06/2020
3911.36,COP,05/08/2021,05/08/2021
3888.53,COP,13/11/2021,16/11/2021
2956.82,COP,12/05/2016,12/05/2016
2934.88,COP,13/05/2016,13/05/2016
2983.82,COP,14/05/2016,16/05/2016
3007.74,COP,17/05/2016,17/05/2016
3020.89,COP,18/05/2016,18/05/2016
3031.48,COP,19/05/2016,19/05/2016
3056.06,COP,20/05/2016,20/05/2016
3047.99,COP,21/05/2016,23/05/2016
3058.25,COP,24/05/2016,24/05/2016
3059.92,COP,25/05/2016,25/05/2016
3061.89,COP,26/05/2016,26/05/2016
3054.60,COP,27/05/2016,27/05/2016
3069.17,COP,28/05/2016,31/05/2016
3089.65,COP,01/06/2016,01/06/2016
3117.83,COP,02/06/2016,02/06/2016
3110.88,COP,03/06/2016,03/06/2016
3017.71,COP,04/06/2016,07/06/2016
2950.95,COP,08/06/2016,08/06/2016
2905.23,COP,09/06/2016,09/06/2016
2942.13,COP,10/06/2016,10/06/2016
2969.83,COP,11/06/2016,13/06/2016
2990.35,COP,14/06/2016,14/06/2016
3003.28,COP,15/06/2016,15/06/2016
2989.56,COP,16/06/2016,16/06/2016
3019.12,COP,17/06/2016,17/06/2016
3010.91,COP,18/06/2016,20/06/2016
2972.97,COP,21/06/2016,21/06/2016
2976.29,COP,22/06/2016,22/06/2016
2944.06,COP,23/06/2016,23/06/2016
2897.53,COP,24/06/2016,24/06/2016
2972.92,COP,25/06/2016,27/06/2016
2044.58,COP,15/03/2014,17/03/2014
2035.16,COP,18/03/2014,18/03/2014
2034.86,COP,19/03/2014,19/03/2014
2017.38,COP,20/03/2014,20/03/2014
1998.60,COP,21/03/2014,21/03/2014
1993.85,COP,22/03/2014,25/03/2014
1978.63,COP,26/03/2014,26/03/2014
1973.03,COP,27/03/2014,27/03/2014
1965.64,COP,28/03/2014,28/03/2014
1965.32,COP,29/03/2014,31/03/2014
1969.45,COP,01/04/2014,01/04/2014
1966.02,COP,02/04/2014,02/04/2014
1963.51,COP,03/04/2014,03/04/2014
1966.40,COP,04/04/2014,04/04/2014
1951.85,COP,05/04/2014,07/04/2014
1937.59,COP,08/04/2014,08/04/2014
1923.95,COP,09/04/2014,09/04/2014
1931.09,COP,10/04/2014,10/04/2014
1920.93,COP,11/04/2014,11/04/2014
1927.28,COP,12/04/2014,14/04/2014
1926.47,COP,15/04/2014,15/04/2014
1932.42,COP,16/04/2014,16/04/2014
1930.62,COP,17/04/2014,21/04/2014
1921.75,COP,22/04/2014,22/04/2014
1929.66,COP,23/04/2014,23/04/2014
1936.63,COP,24/04/2014,24/04/2014
1936.07,COP,25/04/2014,25/04/2014
1942.37,COP,26/04/2014,28/04/2014
1936.13,COP,29/04/2014,29/04/2014
1935.14,COP,30/04/2014,30/04/2014
1933.46,COP,01/05/2014,02/05/2014
1926.30,COP,03/05/2014,05/05/2014
1923.07,COP,06/05/2014,06/05/2014
1918.20,COP,07/05/2014,07/05/2014
1912.97,COP,08/05/2014,08/05/2014
1902.15,COP,09/05/2014,09/05/2014
1901.51,COP,10/05/2014,12/05/2014
1904.85,COP,13/05/2014,13/05/2014
1919.70,COP,14/05/2014,14/05/2014
1925.31,COP,15/05/2014,15/05/2014
1927.80,COP,16/05/2014,16/05/2014
1925.41,COP,17/05/2014,19/05/2014
1921.16,COP,20/05/2014,20/05/2014
1920.41,COP,21/05/2014,21/05/2014
1911.33,COP,22/05/2014,22/05/2014
1905.80,COP,23/05/2014,23/05/2014
1905.53,COP,24/05/2014,27/05/2014
1917.34,COP,28/05/2014,28/05/2014
1910.80,COP,29/05/2014,29/05/2014
1905.96,COP,30/05/2014,30/05/2014
1900.64,COP,31/05/2014,03/06/2014
1899.74,COP,04/06/2014,04/06/2014
1897.70,COP,05/06/2014,05/06/2014
1892.08,COP,06/06/2014,06/06/2014
1886.09,COP,07/06/2014,09/06/2014
1883.76,COP,10/06/2014,10/06/2014
1884.97,COP,11/06/2014,11/06/2014
1884.63,COP,12/06/2014,12/06/2014
1877.18,COP,13/06/2014,13/06/2014
1877.37,COP,14/06/2014,16/06/2014
1886.62,COP,17/06/2014,17/06/2014
1899.90,COP,18/06/2014,18/06/2014
1895.92,COP,19/06/2014,19/06/2014
1881.34,COP,20/06/2014,20/06/2014
1884.56,COP,21/06/2014,24/06/2014
1886.85,COP,25/06/2014,25/06/2014
1880.37,COP,26/06/2014,26/06/2014
1886.01,COP,27/06/2014,27/06/2014
1881.19,COP,28/06/2014,01/07/2014
1865.42,COP,02/07/2014,02/07/2014
1856.73,COP,03/07/2014,03/07/2014
1848.91,COP,04/07/2014,07/07/2014
1849.28,COP,08/07/2014,08/07/2014
1854.24,COP,09/07/2014,09/07/2014
1859.94,COP,10/07/2014,10/07/2014
1858.47,COP,11/07/2014,11/07/2014
1852.57,COP,12/07/2014,14/07/2014
1857.93,COP,15/07/2014,15/07/2014
1867.88,COP,16/07/2014,16/07/2014
1868.41,COP,17/07/2014,17/07/2014
1872.27,COP,18/07/2014,18/07/2014
1871.87,COP,19/07/2014,21/07/2014
1861.28,COP,22/07/2014,22/07/2014
1848.98,COP,23/07/2014,23/07/2014
1847.85,COP,24/07/2014,24/07/2014
1846.12,COP,25/07/2014,25/07/2014
1848.56,COP,26/07/2014,28/07/2014
1850.61,COP,29/07/2014,29/07/2014
1853.30,COP,30/07/2014,30/07/2014
1872.43,COP,31/07/2014,31/07/2014
1878.75,COP,01/08/2014,01/08/2014
1873.65,COP,02/08/2014,04/08/2014
1878.68,COP,05/08/2014,05/08/2014
1892.35,COP,06/08/2014,06/08/2014
1888.51,COP,07/08/2014,08/08/2014
1891.59,COP,09/08/2014,11/08/2014
1881.62,COP,12/08/2014,12/08/2014
1877.40,COP,13/08/2014,13/08/2014
1883.33,COP,14/08/2014,14/08/2014
1877.77,COP,15/08/2014,15/08/2014
1884.81,COP,16/08/2014,19/08/2014
1894.27,COP,20/08/2014,20/08/2014
1912.43,COP,21/08/2014,21/08/2014
1919.84,COP,22/08/2014,22/08/2014
1924.40,COP,23/08/2014,25/08/2014
1932.39,COP,26/08/2014,26/08/2014
1928.67,COP,27/08/2014,27/08/2014
1926.92,COP,28/08/2014,28/08/2014
1935.04,COP,29/08/2014,29/08/2014
1918.62,COP,30/08/2014,02/09/2014
1931.49,COP,03/09/2014,03/09/2014
1924.67,COP,04/09/2014,04/09/2014
1931.45,COP,05/09/2014,05/09/2014
1935.25,COP,06/09/2014,08/09/2014
1942.03,COP,09/09/2014,09/09/2014
1962.84,COP,10/09/2014,10/09/2014
1975.82,COP,11/09/2014,11/09/2014
1979.97,COP,12/09/2014,12/09/2014
1994.97,COP,13/09/2014,15/09/2014
1987.71,COP,16/09/2014,16/09/2014
1978.08,COP,17/09/2014,17/09/2014
1975.47,COP,18/09/2014,18/09/2014
1975.42,COP,19/09/2014,19/09/2014
1966.89,COP,20/09/2014,22/09/2014
1992.68,COP,23/09/2014,23/09/2014
1997.91,COP,24/09/2014,24/09/2014
2007.48,COP,25/09/2014,25/09/2014
2019.76,COP,26/09/2014,26/09/2014
2023.89,COP,27/09/2014,29/09/2014
2028.48,COP,30/09/2014,30/09/2014
2022.00,COP,01/10/2014,01/10/2014
2025.75,COP,02/10/2014,02/10/2014
2021.49,COP,03/10/2014,03/10/2014
2026.20,COP,04/10/2014,06/10/2014
2028.03,COP,07/10/2014,07/10/2014
2026.90,COP,08/10/2014,08/10/2014
2040.31,COP,09/10/2014,09/10/2014
2041.71,COP,10/10/2014,10/10/2014
2052.96,COP,11/10/2014,14/10/2014
2049.66,COP,15/10/2014,15/10/2014
2057.70,COP,16/10/2014,16/10/2014
2074.40,COP,17/10/2014,17/10/2014
2064.43,COP,18/10/2014,20/10/2014
2065.82,COP,21/10/2014,21/10/2014
2048.44,COP,22/10/2014,22/10/2014
2049.90,COP,23/10/2014,23/10/2014
2053.39,COP,24/10/2014,24/10/2014
2065.38,COP,25/10/2014,27/10/2014
2069.72,COP,28/10/2014,28/10/2014
833.35,COP,16/06/1994,16/06/1994
643.42,COP,02/12/1991,02/12/1991
639.22,COP,03/12/1991,03/12/1991
635.70,COP,04/12/1991,04/12/1991
2905.12,COP,03/10/2003,03/10/2003
2881.88,COP,04/10/2003,06/10/2003
2872.70,COP,07/10/2003,07/10/2003
2951.14,COP,04/04/2003,04/04/2003
2946.79,COP,05/04/2003,07/04/2003
2942.41,COP,08/04/2003,08/04/2003
2938.32,COP,09/04/2003,09/04/2003
2920.40,COP,10/04/2003,10/04/2003
2911.74,COP,11/04/2003,11/04/2003
2923.07,COP,12/04/2003,14/04/2003
2931.69,COP,15/04/2003,15/04/2003
2919.58,COP,16/04/2003,16/04/2003
2918.01,COP,17/04/2003,21/04/2003
2920.04,COP,22/04/2003,22/04/2003
2916.03,COP,23/04/2003,23/04/2003
2911.00,COP,24/04/2003,24/04/2003
2908.25,COP,25/04/2003,25/04/2003
2912.83,COP,26/04/2003,28/04/2003
2900.00,COP,29/04/2003,29/04/2003
2887.82,COP,30/04/2003,30/04/2003
2868.43,COP,01/05/2003,02/05/2003
2865.94,COP,03/05/2003,05/05/2003
2858.37,COP,06/05/2003,06/05/2003
2856.98,COP,07/05/2003,07/05/2003
2866.06,COP,08/05/2003,08/05/2003
2848.41,COP,09/05/2003,09/05/2003
2840.04,COP,10/05/2003,12/05/2003
2833.86,COP,13/05/2003,13/05/2003
2813.60,COP,14/05/2003,14/05/2003
2821.08,COP,15/05/2003,15/05/2003
2827.99,COP,16/05/2003,16/05/2003
2816.46,COP,17/05/2003,19/05/2003
2874.77,COP,20/05/2003,20/05/2003
2909.83,COP,21/05/2003,21/05/2003
2912.46,COP,22/05/2003,22/05/2003
2905.91,COP,23/05/2003,23/05/2003
2868.37,COP,24/05/2003,26/05/2003
2868.37,COP,27/05/2003,27/05/2003
2850.03,COP,28/05/2003,28/05/2003
2874.91,COP,29/05/2003,29/05/2003
2855.88,COP,30/05/2003,30/05/2003
2853.33,COP,31/05/2003,03/06/2003
2846.16,COP,04/06/2003,04/06/2003
2849.71,COP,05/06/2003,05/06/2003
2839.21,COP,06/06/2003,06/06/2003
2828.20,COP,07/06/2003,09/06/2003
2818.50,COP,10/06/2003,10/06/2003
2809.63,COP,11/06/2003,11/06/2003
2821.27,COP,12/06/2003,12/06/2003
2832.20,COP,13/06/2003,13/06/2003
2821.61,COP,14/06/2003,16/06/2003
2818.62,COP,17/06/2003,17/06/2003
2828.96,COP,18/06/2003,18/06/2003
2829.42,COP,19/06/2003,19/06/2003
2827.40,COP,20/06/2003,20/06/2003
2826.36,COP,21/06/2003,24/06/2003
2815.26,COP,25/06/2003,25/06/2003
2806.96,COP,26/06/2003,26/06/2003
2812.28,COP,27/06/2003,27/06/2003
2817.32,COP,28/06/2003,01/07/2003
2817.63,COP,02/07/2003,02/07/2003
2812.40,COP,03/07/2003,03/07/2003
2815.14,COP,04/07/2003,07/07/2003
2820.85,COP,08/07/2003,08/07/2003
2838.88,COP,09/07/2003,09/07/2003
2846.89,COP,10/07/2003,10/07/2003
2855.41,COP,11/07/2003,11/07/2003
2856.96,COP,12/07/2003,14/07/2003
2871.88,COP,15/07/2003,15/07/2003
2879.37,COP,16/07/2003,16/07/2003
2888.57,COP,17/07/2003,17/07/2003
2883.90,COP,18/07/2003,18/07/2003
2880.69,COP,19/07/2003,21/07/2003
2878.33,COP,22/07/2003,22/07/2003
2878.56,COP,23/07/2003,23/07/2003
2882.70,COP,24/07/2003,24/07/2003
2887.31,COP,25/07/2003,25/07/2003
2888.32,COP,26/07/2003,28/07/2003
2883.15,COP,29/07/2003,29/07/2003
2873.17,COP,30/07/2003,30/07/2003
2880.40,COP,31/07/2003,31/07/2003
2879.60,COP,01/08/2003,01/08/2003
2886.87,COP,02/08/2003,04/08/2003
2894.58,COP,05/08/2003,05/08/2003
2901.09,COP,06/08/2003,06/08/2003
2887.05,COP,07/08/2003,08/08/2003
2875.18,COP,09/08/2003,11/08/2003
2873.51,COP,12/08/2003,12/08/2003
2868.50,COP,13/08/2003,13/08/2003
2870.67,COP,14/08/2003,14/08/2003
2864.81,COP,15/08/2003,15/08/2003
2861.34,COP,16/08/2003,19/08/2003
2869.29,COP,20/08/2003,20/08/2003
2861.63,COP,21/08/2003,21/08/2003
2853.56,COP,22/08/2003,22/08/2003
2841.25,COP,23/08/2003,25/08/2003
2843.66,COP,26/08/2003,26/08/2003
2848.86,COP,27/08/2003,27/08/2003
2850.89,COP,28/08/2003,28/08/2003
2846.26,COP,29/08/2003,29/08/2003
2832.94,COP,30/08/2003,02/09/2003
2841.02,COP,03/09/2003,03/09/2003
2826.46,COP,04/09/2003,04/09/2003
2816.74,COP,05/09/2003,05/09/2003
2820.46,COP,06/09/2003,08/09/2003
2822.85,COP,09/09/2003,09/09/2003
2820.20,COP,10/09/2003,10/09/2003
2825.28,COP,11/09/2003,11/09/2003
2829.82,COP,12/09/2003,12/09/2003
2824.88,COP,13/09/2003,15/09/2003
2824.53,COP,16/09/2003,16/09/2003
2823.79,COP,17/09/2003,17/09/2003
2823.28,COP,18/09/2003,18/09/2003
2833.64,COP,19/09/2003,19/09/2003
2844.64,COP,20/09/2003,22/09/2003
2859.37,COP,23/09/2003,23/09/2003
2866.42,COP,24/09/2003,24/09/2003
2872.30,COP,25/09/2003,25/09/2003
2871.39,COP,26/09/2003,26/09/2003
2879.32,COP,27/09/2003,29/09/2003
2889.39,COP,30/09/2003,30/09/2003
2888.21,COP,01/10/2003,01/10/2003
2907.41,COP,02/10/2003,02/10/2003
2868.91,COP,08/10/2003,08/10/2003
2887.59,COP,09/10/2003,09/10/2003
1793.47,COP,12/08/2011,12/08/2011
1783.35,COP,13/08/2011,16/08/2011
1776.66,COP,17/08/2011,17/08/2011
1767.29,COP,18/08/2011,18/08/2011
1775.84,COP,19/08/2011,19/08/2011
1779.05,COP,20/08/2011,22/08/2011
1779.86,COP,23/08/2011,23/08/2011
1781.91,COP,24/08/2011,24/08/2011
1791.61,COP,25/08/2011,25/08/2011
1791.05,COP,26/08/2011,26/08/2011
1794.02,COP,27/08/2011,29/08/2011
1787.52,COP,30/08/2011,30/08/2011
1783.66,COP,31/08/2011,31/08/2011
1780.26,COP,01/09/2011,01/09/2011
1778.51,COP,02/09/2011,02/09/2011
1782.80,COP,03/09/2011,06/09/2011
1791.89,COP,07/09/2011,07/09/2011
1789.30,COP,08/09/2011,08/09/2011
1789.90,COP,09/09/2011,09/09/2011
1796.58,COP,10/09/2011,12/09/2011
1811.34,COP,13/09/2011,13/09/2011
1813.42,COP,14/09/2011,14/09/2011
1824.15,COP,15/09/2011,15/09/2011
1822.04,COP,16/09/2011,16/09/2011
1820.29,COP,17/09/2011,19/09/2011
1843.26,COP,20/09/2011,20/09/2011
1854.96,COP,21/09/2011,21/09/2011
1882.23,COP,22/09/2011,22/09/2011
1915.63,COP,23/09/2011,23/09/2011
1902.45,COP,24/09/2011,26/09/2011
1903.31,COP,27/09/2011,27/09/2011
1887.38,COP,28/09/2011,28/09/2011
1907.75,COP,29/09/2011,29/09/2011
1915.10,COP,30/09/2011,30/09/2011
1929.01,COP,01/10/2011,03/10/2011
1943.80,COP,04/10/2011,04/10/2011
1972.76,COP,05/10/2011,05/10/2011
1967.56,COP,06/10/2011,06/10/2011
1952.09,COP,07/10/2011,07/10/2011
1931.64,COP,08/10/2011,11/10/2011
1913.60,COP,12/10/2011,12/10/2011
1896.72,COP,13/10/2011,13/10/2011
1909.12,COP,14/10/2011,14/10/2011
1895.33,COP,15/10/2011,18/10/2011
1902.47,COP,19/10/2011,19/10/2011
1900.10,COP,20/10/2011,20/10/2011
1905.95,COP,21/10/2011,21/10/2011
1897.45,COP,22/10/2011,24/10/2011
1878.78,COP,25/10/2011,25/10/2011
1875.55,COP,26/10/2011,26/10/2011
1878.10,COP,27/10/2011,27/10/2011
1862.84,COP,28/10/2011,28/10/2011
1863.06,COP,29/10/2011,31/10/2011
1871.49,COP,01/11/2011,01/11/2011
1891.38,COP,02/11/2011,02/11/2011
1889.66,COP,03/11/2011,03/11/2011
1905.38,COP,04/11/2011,04/11/2011
1786.77,COP,13/10/2010,13/10/2010
1791.56,COP,14/10/2010,14/10/2010
1801.20,COP,15/10/2010,15/10/2010
1807.88,COP,16/10/2010,19/10/2010
1817.45,COP,20/10/2010,20/10/2010
1812.60,COP,21/10/2010,21/10/2010
1816.28,COP,22/10/2010,22/10/2010
1823.05,COP,23/10/2010,25/10/2010
1830.96,COP,26/10/2010,26/10/2010
1838.45,COP,27/10/2010,27/10/2010
1846.41,COP,28/10/2010,28/10/2010
1839.90,COP,29/10/2010,29/10/2010
1831.64,COP,30/10/2010,02/11/2010
1845.51,COP,03/11/2010,03/11/2010
1840.51,COP,04/11/2010,04/11/2010
1821.05,COP,05/11/2010,05/11/2010
1817.70,COP,06/11/2010,08/11/2010
1828.28,COP,09/11/2010,09/11/2010
1836.27,COP,10/11/2010,10/11/2010
1858.01,COP,11/11/2010,12/11/2010
1861.74,COP,13/11/2010,16/11/2010
1880.98,COP,17/11/2010,17/11/2010
1875.78,COP,18/11/2010,18/11/2010
1865.82,COP,19/11/2010,19/11/2010
1875.39,COP,20/11/2010,22/11/2010
1882.00,COP,23/11/2010,23/11/2010
1892.84,COP,24/11/2010,24/11/2010
1889.11,COP,25/11/2010,26/11/2010
1906.69,COP,27/11/2010,29/11/2010
1916.96,COP,30/11/2010,30/11/2010
1932.63,COP,01/12/2010,01/12/2010
1933.58,COP,02/12/2010,02/12/2010
1920.00,COP,03/12/2010,03/12/2010
1896.73,COP,04/12/2010,06/12/2010
1889.75,COP,07/12/2010,07/12/2010
1880.82,COP,08/12/2010,09/12/2010
1902.72,COP,10/12/2010,10/12/2010
1911.87,COP,11/12/2010,13/12/2010
1894.12,COP,14/12/2010,14/12/2010
1899.89,COP,15/12/2010,15/12/2010
1905.84,COP,16/12/2010,16/12/2010
1916.09,COP,17/12/2010,17/12/2010
1923.13,COP,18/12/2010,20/12/2010
1928.71,COP,21/12/2010,21/12/2010
1934.96,COP,22/12/2010,22/12/2010
1934.44,COP,23/12/2010,23/12/2010
1928.33,COP,24/12/2010,24/12/2010
1939.54,COP,25/12/2010,27/12/2010
1964.57,COP,28/12/2010,28/12/2010
2027.33,COP,29/12/2010,29/12/2010
1989.88,COP,30/12/2010,30/12/2010
1913.98,COP,31/12/2010,03/01/2011
1902.71,COP,04/01/2011,04/01/2011
1899.86,COP,05/01/2011,05/01/2011
1894.82,COP,06/01/2011,06/01/2011
1869.94,COP,07/01/2011,07/01/2011
1859.97,COP,08/01/2011,11/01/2011
1856.79,COP,12/01/2011,12/01/2011
1855.46,COP,13/01/2011,13/01/2011
1864.36,COP,14/01/2011,14/01/2011
1872.46,COP,15/01/2011,18/01/2011
1864.64,COP,19/01/2011,19/01/2011
1841.90,COP,20/01/2011,20/01/2011
1849.59,COP,21/01/2011,21/01/2011
1838.94,COP,22/01/2011,24/01/2011
1842.43,COP,25/01/2011,25/01/2011
1853.71,COP,26/01/2011,26/01/2011
2261.12,COP,18/04/2002,18/04/2002
2256.66,COP,19/04/2002,19/04/2002
2260.90,COP,20/04/2002,22/04/2002
2259.88,COP,23/04/2002,23/04/2002
2263.68,COP,24/04/2002,24/04/2002
2265.70,COP,25/04/2002,25/04/2002
2267.40,COP,26/04/2002,26/04/2002
2270.92,COP,27/04/2002,29/04/2002
2275.35,COP,30/04/2002,30/04/2002
2275.43,COP,01/05/2002,02/05/2002
